Opening,Opening.1,Title,Production company,Cast and crew,Ref.,genres
S E P T E M B E R,14,White Boy Rick,Columbia Pictures,"Yann Demange (director); Andy Weiss, Logan Miller, Noah Miller (screenplay); Matthew McConaughey, Richie Merritt, Bel Powley, Jennifer Jason Leigh, Brian Tyree Henry, Rory Cochrane, RJ Cyler, Jonathan Majors, Eddie Marsan, Bruce Dern, Piper Laurie",[146],Crime Drama
S E P T E M B E R,14,A Simple Favor,Lionsgate,"Paul Feig (director/screenplay); Jessica Sharzer (screenplay); Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells, Linda Cardellini, Rupert Friend, Jean Smart",[163],Crime Thriller Comedy
S E P T E M B E R,14,The Children Act,A24,"Richard Eyre (director); Ian McEwan (screenplay); Emma Thompson, Stanley Tucci, Fionn Whitehead",[164],Drama
S E P T E M B E R,14,Lizzie,Saban Films / Roadside Attractions,"Craig William Macneill (director); Bryce Kass (screenplay); Chloë Sevigny, Kristen Stewart, Jay Huguley, Jamey Sheridan, Fiona Shaw, Kim Dickens, Denis O'Hare, Jeff Perry",[165],Crime Drama Thriller
S E P T E M B E R,14,Unbroken: Path to Redemption,Pure Flix,"Harold Cronk (director); Richard Friedenberg, Ken Hixon (screenplay); Samuel Hunt, Merritt Patterson, Vanessa Bell Calloway, Bobby Campo, Maddalena Ischiale, David DeLuise, Bob Gunton, David Sakurai, Gary Cole, Will Graham",[166],Drama
S E P T E M B E R,20,Hell House LLC II: The Abaddon Hotel,Shudder,"Stephen Cognetti (director/screenplay); Vasile Flutur, Jillian Geurts, Joy Shatz, Dustin Austen, Brian David Tracey",[167],Horror Mystery
S E P T E M B E R,21,The House with a Clock in Its Walls,Universal Pictures / Amblin Entertainment / Reliance Entertainment,"Eli Roth (director); Eric Kripke (screenplay); Jack Black, Cate Blanchett, Owen Vaccaro, Renée Elise Goldsberry, Sunny Suljic, Kyle MacLachlan",[168],Fantasy Family Comedy Horror
S E P T E M B E R,21,Life Itself,Amazon Studios / Temple Hill Entertainment,"Dan Fogelman (director/screenplay); Oscar Isaac, Olivia Wilde, Mandy Patinkin, Olivia Cooke, Laia Costa, Annette Bening, Antonio Banderas",[169],Drama Romance
S E P T E M B E R,21,The Sisters Brothers,Annapurna Pictures,"Jacques Audiard (director/screenplay); Thomas Bidegain (screenplay); John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal, Riz Ahmed, Rutger Hauer",[170],Western Drama Comedy
S E P T E M B E R,21,Assassination Nation,Neon,"Sam Levinson (director/screenplay); Odessa Young, Suki Waterhouse, Hari Nef, Abra, Anika Noni Rose, Colman Domingo, Maude Apatow, Bill Skarsgård, Joel McHale, Bella Thorne",[171],Thriller Horror Comedy
S E P T E M B E R,21,Little Italy,Lionsgate,"Donald Petrie (director); Steve Galluccio, Vinay Virmani (screenplay); Emma Roberts, Hayden Christensen, Alyssa Milano, Adam Ferrara, Gary Basaraba, Linda Kash, Andrew Phung, Cristina Rosato, Danny Aiello, Andrea Martin, Jane Seymour",[172],Comedy Romance
S E P T E M B E R,21,Colette,Bleecker Street,"Wash Westmoreland (director/screenplay); Richard Glatzer, Rebecca Lenkiewicz (screenplay); Keira Knightley, Dominic West, Eleanor Tomlinson, Denise Gough, Aiysha Hart",[173],Drama History
S E P T E M B E R,21,Fahrenheit 11/9,Briarcliff / State Run Films,Michael Moore (director/screenplay/narrator),[174],Documentary
S E P T E M B E R,21,"Love, Gilda",Magnolia Pictures / Motto Pictures / 3 Faces Films,"Lisa D'Apolito (director); Gilda Radner, Amy Poehler, Melissa McCarthy, Bill Hader, Maya Rudolph, Lorne Michaels, Jordan Walker-Pearlman, Cecily Strong, Martin Short, Laraine Newman, Chevy Chase, Paul Shaffer, Stephen Schwartz, Andrew Alexander",[175],Documentary
S E P T E M B E R,28,Smallfoot,Warner Bros. Pictures / Warner Animation Group,"Karey Kirkpatrick (director/screenplay); Clare Sera (screenplay); Channing Tatum, James Corden, Zendaya, Common, LeBron James, Danny DeVito, Gina Rodriguez, Yara Shahidi, Ely Henry, Jimmy Tatro, Justin Roiland",[176],Family Animation Adventure Fantasy Comedy
S E P T E M B E R,28,Night School,Universal Pictures / Will Packer Productions,"Malcolm D. Lee (director[177]); Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller,[178] John Hamburg (screenplay); Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco",[179],Comedy
S E P T E M B E R,28,The Old Man & the Gun,Fox Searchlight Pictures,"David Lowery (director/screenplay); Robert Redford, Casey Affleck, Danny Glover, Tika Sumpter, Tom Waits, Sissy Spacek",[180],Comedy Crime Drama
S E P T E M B E R,28,Hell Fest,Lionsgate / CBS Films,"Gregory Plotkin (director); Seth M. Sherwood, Blair Butler, Akela Cooper (screenplay); Amy Forsyth, Reign Edwards, Bex Taylor-Klaus, Christian James, Matt Mercurio, Roby Attal, Tony Todd",[181],Horror Thriller
O C T O B E R,5,Venom,Columbia Pictures / Marvel Entertainment,"Ruben Fleischer (director); Jeff Pinkner, Scott Rosenberg, Kelly Marcel (screenplay); Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze, Reid Scott",[182],Science Fiction Action
O C T O B E R,5,A Star Is Born,Warner Bros. Pictures / Peters Entertainment,"Bradley Cooper (director/screenplay); Eric Roth, Will Fetters (screenplay); Bradley Cooper, Lady Gaga, Andrew Dice Clay, Dave Chappelle, Sam Elliott",[183],Music Drama Romance
O C T O B E R,5,The Great Buster: A Celebration,Cohen Media Group,Peter Bogdanovich (director/screenplay),[184],Documentary Comedy
O C T O B E R,12,First Man,Universal Pictures / DreamWorks Pictures / Amblin Entertainment,"Damien Chazelle (director); Josh Singer (screenplay); Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler, Corey Stoll, Christopher Abbott, Ciarán Hinds",[185],History Drama
O C T O B E R,12,Bad Times at the El Royale,20th Century Fox,"Drew Goddard (director/screenplay); Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm, Cailee Spaeny, Lewis Pullman, Chris Hemsworth",[186],Thriller Drama Mystery Crime
O C T O B E R,12,Goosebumps 2: Haunted Halloween,Columbia Pictures / Sony Pictures Animation / Original Film / Scholastic Entertainment,"Ari Sandel (director); Rob Lieber (screenplay); Wendi McLendon-Covey, Madison Iseman, Jeremy Ray Taylor, Caleel Harris, Chris Parnell, Ken Jeong",[187],Comedy Fantasy Horror
O C T O B E R,12,Beautiful Boy,Amazon Studios / Plan B Entertainment,"Felix van Groeningen (director/screenplay); Luke Davies (screenplay); Steve Carell, Timothée Chalamet, Maura Tierney, Amy Ryan",[188],Drama
O C T O B E R,12,The Oath,Roadside Attractions,"Ike Barinholtz (director/screenplay); Ike Barinholtz, Tiffany Haddish, Nora Dunn, Chris Ellis, Jon Barinholtz, Meredith Hagner, Carrie Brownstein, Billy Magnussen, John Cho",[189],Comedy Thriller
O C T O B E R,12,Gosnell: The Trial of America's Biggest Serial Killer,Hat Tip Films / GVN Releasing,"Nick Searcy (director); Andrew Klavan (screenplay); Earl Billings, Dean Cain, Sarah Jane Morris, Michael Beach, Nick Searcy",[190],Drama Crime
O C T O B E R,12,After Everything,Good Deed Entertainment,"Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Joe Keery, Gina Gershon, Marisa Tomei",[191],Romance Drama
O C T O B E R,19,Halloween,Universal Pictures / Miramax / Blumhouse Productions,"David Gordon Green (director/screenplay); Jeff Fradley, Danny McBride (screenplay); Jamie Lee Curtis, Judy Greer, Andi Matichak, Will Patton, Virginia Gardner",[192],Horror Thriller
O C T O B E R,19,The Hate U Give,20th Century Fox / Fox 2000 Pictures,"George Tillman Jr. (director); Audrey Wells (screenplay); Amandla Stenberg, Regina Hall, Russell Hornsby, KJ Apa, Sabrina Carpenter, Common, Anthony Mackie",[193],Crime Drama
O C T O B E R,19,Can You Ever Forgive Me?,Fox Searchlight Pictures,"Marielle Heller (director); Nicole Holofcener, Jeff Whitty (screenplay); Melissa McCarthy, Richard E. Grant",[194],Drama Crime Comedy
O C T O B E R,19,Mid90s,A24,"Jonah Hill (director/screenplay); Sunny Suljic, Lucas Hedges, Na-Kel Smith, Olan Prenatt, Gio Galicia, Ryder McLaughlin, Alexa Demie, Katherine Waterston",[195],Drama Comedy
O C T O B E R,19,Wildlife,IFC Films / June Pictures,"Paul Dano (director/screenplay); Zoe Kazan (screenplay); Carey Mulligan, Jake Gyllenhaal, Ed Oxenbould, Bill Camp",[196],Drama
O C T O B E R,19,What They Had,Bleecker Street,"Elizabeth Chomko (director/screenplay); Hilary Swank, Michael Shannon, Robert Forster, Blythe Danner",[197],Drama
O C T O B E R,20,My Dinner with Hervé,HBO Films,"Sacha Gervasi (director/screenplay); Peter Dinklage, Jamie Dornan, Andy García, Mireille Enos, Oona Chaplin, Harriet Walter, David Strathairn, Daniel Mays, Alex Gaumond, Félicité Du Jeu, Wallace Langham, Mark Povinelli, Helena Mattsson, Alan Ruck, Michael Elwyn, Ashleigh Brewer, Mark Umbers, Robert Curtis Brown, Sabina Franklyn, Savannah Stevenson",,Drama TV Movie
O C T O B E R,26,Hunter Killer,Summit Entertainment / Original Film,"Donovan Marsh (director); Arne Schmidt, Jamie Moss (screenplay); Gerard Butler, Gary Oldman, Common, Linda Cardellini, Toby Stephens",[198],Action Adventure Thriller
O C T O B E R,26,Johnny English Strikes Again,Universal Pictures / StudioCanal / Working Title Films,"David Kerr (director); William Davies (screenplay); Rowan Atkinson, Ben Miller, Olga Kurylenko, Jake Lacy, Emma Thompson",[199],Action Adventure Comedy
O C T O B E R,26,Suspiria,Amazon Studios,"Luca Guadagnino (director); David Kajganich (screenplay); Dakota Johnson, Tilda Swinton, Mia Goth, Angela Winkler, Ingrid Caven, Elena Fokina, Sylvie Testud, Renée Soutendijk, Christine LeBoutte, Fabrizia Sacchi, Małgosia Bela, Jessica Harper, Chloë Grace Moretz",[200],Horror
O C T O B E R,26,Indivisible,Pure Flix,"David G. Evans (director/screenplay); Cheryl McKay, Peter White (screenplay); Sarah Drew, Justin Bruening, Eddie Kaulukukui, Jason George, Madeline Carroll, Tanner Stine, Michael O'Neal, Tia Mowry, Eric Close",[201],Drama War
O C T O B E R,26,Bullitt County,Mr. Pictures,"David McCracken (director/screenplay); Mike C. Nelson, Jenni Melear, David McCracken, Napoleon Ryan, Richard Riehle, Dorothy Lyman",[202],Action Drama Thriller
N O V E M B E R,2,Bohemian Rhapsody,20th Century Fox / Regency Enterprises / GK Films,"Bryan Singer[a] (director); Anthony McCarten (screenplay); Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy, Joseph Mazzello, Aidan Gillen, Tom Hollander, Mike Myers",[204],Music Drama
N O V E M B E R,2,The Nutcracker and the Four Realms,Walt Disney Pictures,"Lasse Hallström, Joe Johnston (director); Ashleigh Powell (screenplay); Keira Knightley, Mackenzie Foy, Eugenio Derbez, Matthew Macfadyen, Richard E. Grant, Misty Copeland, Helen Mirren, Morgan Freeman",[205],Fantasy Adventure Family
N O V E M B E R,2,Nobody's Fool,Paramount Pictures / Paramount Players / Tyler Perry Studios,"Tyler Perry (director/screenplay); Tiffany Haddish, Tika Sumpter, Omari Hardwick, Mehcad Brooks, Amber Riley, Whoopi Goldberg",[206],Drama Comedy
N O V E M B E R,2,Boy Erased,Focus Features / Perfect World Pictures,"Joel Edgerton (director/screenplay); Lucas Hedges, Nicole Kidman, Joel Edgerton, Joe Alwyn, Xavier Dolan, Troye Sivan, Cherry Jones, Flea, Russell Crowe",[207],Drama
N O V E M B E R,2,The Other Side of the Wind,Netflix,"Orson Welles (director/screenplay); Oja Kodar (screenplay); John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg, Norman Foster, Bob Random, Lilli Palmer, Edmond O'Brien, Mercedes McCambridge, Cameron Mitchell, Paul Stewart, Gregory Sierra, Tonio Selwart, Dan Tobin, Joseph McBride, Dennis Hopper",.[208],Drama
N O V E M B E R,2,A Private War,Aviron Pictures,"Matthew Heineman (director); Arash Amel (screenplay); Rosamund Pike, Jamie Dornan, Tom Hollander, Stanley Tucci",[209],Drama War
N O V E M B E R,2,Bodied,Neon / YouTube Premium,"Joseph Kahn (director); Kid Twist (screenplay); Calum Worthy, Jackie Long, Rory Uphold, Dumbfoundead, Walter Perez, Shoniqua Shandai, Charlamagne tha God, Dizaster, Hollow da Don, Loaded Lux, Debra Wilson, Anthony Michael Hall",[210],Drama Comedy Music
N O V E M B E R,6,The Front Runner,Columbia Pictures / Bron Studios,"Jason Reitman (director/screenplay); Matt Bai, Jay Carson (screenplay); Hugh Jackman, Vera Farmiga, J. K. Simmons, Alfred Molina",[211],Drama History
N O V E M B E R,9,The Grinch,Universal Pictures / Illumination,"Scott Mosier, Yarrow Cheney (directors); Michael LeSieur, Tommy Swerdlow (screenplay); Benedict Cumberbatch, Rashida Jones, Kenan Thompson, Angela Lansbury, Pharrell Williams",[212],Animation Family Comedy Fantasy
N O V E M B E R,9,The Girl in the Spider's Web,Columbia Pictures / Metro-Goldwyn-Mayer / Regency Enterprises,"Fede Álvarez (director/screenplay); Jay Basu, Steven Knight (screenplay); Claire Foy, Sverrir Gudnason, LaKeith Stanfield, Sylvia Hoeks, Stephen Merchant",[142],Action Crime Thriller
N O V E M B E R,9,Overlord,Paramount Pictures / Bad Robot,"Julius Avery (director); Billy Ray, Mark L. Smith (screenplay); Jovan Adepo, Wyatt Russell, Mathilde Ollivier, John Magaro, Gianny Taufer, Pilou Asbæk, Bokeem Woodbine, Iain De Caestecker",[213],Horror War Science Fiction
N O V E M B E R,9,The Ballad of Buster Scruggs,Netflix / Annapurna Pictures,"Coen brothers (directors/screenplay); Tyne Daly, James Franco, Brendan Gleeson, Bill Heck, Grainger Hines, Zoe Kazan, Harry Melling, Liam Neeson, Tim Blake Nelson, Jonjo O'Neill, Chelcie Ross, Saul Rubinek, Tom Waits",[214],Western Comedy Drama
N O V E M B E R,13,Lazer Team 2,Rooster Teeth,"Daniel Fabelo, Matt Hullum (directors/screenplay); Burnie Burns (screenplay); Burnie Burns, Gavin Free, Michael Jones, Colton Dunn, Nichole Sakura, Allie DeBerry",[215],Science Fiction Action Adventure Comedy
N O V E M B E R,16,Fantastic Beasts: The Crimes of Grindelwald,Warner Bros. Pictures / Heyday Films,"David Yates (director); J. K. Rowling (screenplay); Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol, Ezra Miller, Zoë Kravitz, Callum Turner, Claudia Kim, Jude Law, Johnny Depp",[216],Fantasy Adventure
N O V E M B E R,16,Widows,20th Century Fox / Regency Enterprises / Film4 Productions,"Steve McQueen (director/screenplay); Gillian Flynn (screenplay); Viola Davis, Michelle Rodriguez, Elizabeth Debicki, Cynthia Erivo, Colin Farrell, Brian Tyree Henry, Daniel Kaluuya, Jacki Weaver, Carrie Coon, Robert Duvall, Liam Neeson",[32],Crime Thriller
N O V E M B E R,16,Green Book,Universal Pictures / DreamWorks Pictures / Participant Media,"Peter Farrelly (director/screenplay); Nick Vallelonga, Brian Hayes Currie (screenplay); Viggo Mortensen, Mahershala Ali, Linda Cardellini",[217],Drama History
N O V E M B E R,16,Instant Family,Paramount Pictures,"Sean Anders (director/screenplay); John Morris (screenplay); Mark Wahlberg, Rose Byrne, Isabela Merced, Margo Martindale, Julie Hagerty, Octavia Spencer",[218],Comedy Drama
N O V E M B E R,21,Ralph Breaks the Internet,Walt Disney Pictures / Walt Disney Animation Studios,"Rich Moore (director); Phil Johnston (director/screenplay[219]); Pamela Ribon (screenplay[219]); John C. Reilly, Sarah Silverman, Gal Gadot, Jane Lynch, Jack McBrayer, Alan Tudyk, Alfred Molina, Ed O'Neill, Taraji P. Henson",[36],Family Animation Comedy Adventure
N O V E M B E R,21,Creed II,Metro-Goldwyn-Mayer / Warner Bros. Pictures / New Line Cinema,"Steven Caple Jr. (director); Juel Taylor, Sylvester Stallone (screenplay); Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Wood Harris, Phylicia Rashad, Florian Munteanu, Dolph Lundgren",[220],Drama Action
N O V E M B E R,21,Robin Hood,Summit Entertainment,"Otto Bathurst (director); Ben Chandler, David James Kelly (screenplay); Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson, Jamie Dornan",[221],Adventure Action Thriller
N O V E M B E R,21,Roma,Netflix / Participant Media,"Alfonso Cuarón (director/screenplay); Yalitza Aparicio, Marina de Tavira, Jorge Antonio Guerrero",[222],Drama
N O V E M B E R,23,The Favourite,Fox Searchlight Pictures / Film4 Productions,"Yorgos Lanthimos (director); Deborah Davis, Tony McNamara (screenplay); Olivia Colman, Emma Stone, Rachel Weisz",[223],Drama Comedy Thriller History
N O V E M B E R,29,Mowgli: Legend of the Jungle,Netflix / The Imaginarium,"Andy Serkis (director); Callie Kloves (screenplay); Christian Bale, Cate Blanchett, Benedict Cumberbatch, Naomie Harris, Andy Serkis, Matthew Rhys, Freida Pinto, Rohan Chand",[224],Adventure Drama
N O V E M B E R,30,The Possession of Hannah Grace,Screen Gems,"Diederik van Rooijen (director); Brian Sieve (screenplay); Shay Mitchell, Grey Damon, Kirby Johnson, Stana Katic",[225],Horror Drama
D E C E M B E R,4,The Cabin,Coast ART Productions / KW Studios,"Johan Bodell (director); Erik Kammerland (screenplay); Christopher Lee Page, Caitlin Crommett, Erik Kammerland, Thomas Hedengra",[226],Thriller Horror
D E C E M B E R,7,Mary Queen of Scots,Focus Features / Perfect World Pictures / Working Title Films,"Josie Rourke (director); Beau Willimon (screenplay); Saoirse Ronan, Margot Robbie, Jack Lowden, Joe Alwyn, David Tennant, Guy Pearce",[227],Drama History
D E C E M B E R,7,Ben Is Back,LD Entertainment / Lionsgate / Roadside Attractions,"Peter Hedges (director/screenplay); Julia Roberts, Lucas Hedges, Courtney B. Vance",[228],Drama
D E C E M B E R,14,Spider-Man: Into the Spider-Verse,Columbia Pictures / Marvel Entertainment / Sony Pictures Animation / Pascal Pictures,"Bob Persichetti, Peter Ramsey, Rodney Rothman (directors); Phil Lord, Rodney Rothman (screenplay); Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Lauren Vélez, John Mulaney, Kimiko Glenn, Nicolas Cage, Liev Schreiber",[229],Animation Action Adventure Science Fiction
D E C E M B E R,14,Mortal Engines,Universal Pictures / Media Rights Capital / Perfect World Pictures / WingNut Films,"Christian Rivers (director); Fran Walsh, Philippa Boyens, Peter Jackson (screenplay); Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae, Ronan Raftery, Leila George, Patrick Malahide, Stephen Lang",[230],Adventure Science Fiction
D E C E M B E R,14,The Mule,Warner Bros. Pictures,"Clint Eastwood (director); Nick Schenk (screenplay); Clint Eastwood, Bradley Cooper, Laurence Fishburne, Michael Peña, Dianne Wiest, Andy García",[231],Crime Drama
D E C E M B E R,14,If Beale Street Could Talk,Annapurna Pictures / Plan B Entertainment,"Barry Jenkins (director/screenplay); KiKi Layne, Stephan James, Colman Domingo, Teyonah Parris, Michael Beach, Dave Franco, Diego Luna, Pedro Pascal, Ed Skrein, Brian Tyree Henry, Regina King",[232],Romance Drama
D E C E M B E R,19,Mary Poppins Returns,Walt Disney Pictures,"Rob Marshall (director); David Magee (screenplay); Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Julie Walters, Colin Firth, Meryl Streep",[233],Fantasy Family Comedy
D E C E M B E R,21,Aquaman,Warner Bros. Pictures / DC Films,"James Wan (director); David Leslie Johnson-McGoldrick, Will Beall (screenplay); Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Dolph Lundgren, Yahya Abdul-Mateen II, Nicole Kidman",[234],Action Adventure Fantasy
D E C E M B E R,21,Bumblebee,Paramount Pictures / Allspark Pictures / Tencent Pictures,"Travis Knight (director); Christina Hodson (screenplay); Hailee Steinfeld, John Cena, Jorge Lendeborg Jr., John Ortiz, Jason Drucker, Pamela Adlon",[235],Action Adventure Science Fiction
D E C E M B E R,21,Welcome to Marwen,Universal Pictures / DreamWorks Pictures / ImageMovers,"Robert Zemeckis (director/screenplay); Caroline Thompson (screenplay); Steve Carell, Leslie Mann, Diane Kruger, Merritt Wever, Janelle Monáe, Eiza González, Gwendoline Christie, Leslie Zemeckis, Siobhan Williams, Neil Jackson",[236],Drama Comedy
D E C E M B E R,21,Second Act,STX Entertainment,"Peter Segal (director); Justin Zackham, Elaine Goldsmith-Thomas (screenplay); Jennifer Lopez, Leah Remini, Vanessa Hudgens, Treat Williams, Milo Ventimiglia",[237],Romance Comedy
D E C E M B E R,25,Holmes & Watson,Columbia Pictures / Gary Sanchez Productions / Mosiac Media Group,"Etan Cohen (director/screenplay); Will Ferrell, John C. Reilly, Rebecca Hall, Rob Brydon, Kelly Macdonald, Steve Coogan, Ralph Fiennes",[142],Mystery Adventure Comedy Crime
D E C E M B E R,25,Vice,Annapurna Pictures / Plan B Entertainment,"Adam McKay (director/screenplay); Christian Bale, Amy Adams, Steve Carell, Tyler Perry, Alison Pill, Lily Rabe, Jesse Plemons, Sam Rockwell",[117],Thriller Science Fiction Action Adventure
D E C E M B E R,25,On the Basis of Sex,Focus Features,"Mimi Leder (director); Daniel Stiepleman (screenplay); Felicity Jones, Armie Hammer, Justin Theroux, Sam Waterston, Kathy Bates",[207],Drama History
D E C E M B E R,25,Destroyer,Annapurna Pictures,"Karyn Kusama (director); Phil Hay, Matt Manfredi (screenplay); Nicole Kidman, Sebastian Stan, Toby Kebbell, Tatiana Maslany, Bradley Whitford, Jade Pettyjohn, Scoot McNairy",[238],Thriller Crime Drama Action
