director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,comb
Thor Freudenthal,Charlie Plummer,Andy García,Taylor Russell,words on bathroom walls,Charlie Plummer Andy García Taylor Russell Thor Freudenthal
Dean Parisot,Keanu Reeves,Alex Winter,Kristen Schaal,bill & ted face the music,Keanu Reeves Alex Winter Kristen Schaal Dean Parisot
Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,the new mutants,Maisie Williams Anya Taylor-Joy Charlie Heaton Josh Boone
Armando Iannucci,Dev Patel,Aneurin Barnard,Peter Capaldi,the personal history of david copperfield,Dev Patel Aneurin Barnard Peter Capaldi Armando Iannucci
Charlie Kaufman,Jesse Plemons,Jessie Buckley,Toni Collette,i'm thinking of ending things,Jesse Plemons Jessie Buckley Toni Collette Charlie Kaufman
Bob Bowen,Vincent Martella,Ashley Tisdale,David Errigo Jr.,phineas and ferb the movie: candace against the universe,Vincent Martella Ashley Tisdale David Errigo Jr. Bob Bowen
Brett Haley,Auliʻi Cravalho,Rhenzy Feliz,Judy Reyes,all together now,Auliʻi Cravalho Rhenzy Feliz Judy Reyes Brett Haley
Brendan Walsh,Genesis Rodriguez,Vincent Piazza,Louis Cancelmi,centigrade,Genesis Rodriguez Vincent Piazza Louis Cancelmi Brendan Walsh
Marco Pontecorvo,Joaquim de Almeida,Goran Višnjić,Stephanie Gil,fatima,Joaquim de Almeida Goran Višnjić Stephanie Gil Marco Pontecorvo
Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,tenet,John David Washington Robert Pattinson Elizabeth Debicki Christopher Nolan
Niki Caro,Liu Yifei,Donnie Yen,Tzi Ma,mulan,Liu Yifei Donnie Yen Tzi Ma Niki Caro
John Leguizamo,John Leguizamo,Jorge Lendeborg Jr.,Angel Bismark Curiel,critical thinking,John Leguizamo Jorge Lendeborg Jr. Angel Bismark Curiel John Leguizamo
Julius Berg,Maisie Williams,Sylvester McCoy,Rita Tushingham,the owners,Maisie Williams Sylvester McCoy Rita Tushingham Julius Berg
Sam Macaroni,Pauly Shore,Mike Castle,Aimee Teegarden,guest house,Pauly Shore Mike Castle Aimee Teegarden Sam Macaroni
McG,Judah Lewis,Emily Alyn Lind,Jenna Ortega,the babysitter: killer queen,Judah Lewis Emily Alyn Lind Jenna Ortega McG
Rachel Lee Goldenberg,Haley Lu Richardson,Barbie Ferreira,Alex MacNicoll,unpregnant,Haley Lu Richardson Barbie Ferreira Alex MacNicoll Rachel Lee Goldenberg
Antonio Campos,Tom Holland,Bill Skarsgård,Riley Keough,the devil all the time,Tom Holland Bill Skarsgård Riley Keough Antonio Campos
Natalie Krinsky,Geraldine Viswanathan,Dacre Montgomery,Utkarsh Ambudkar,the broken hearts gallery,Geraldine Viswanathan Dacre Montgomery Utkarsh Ambudkar Natalie Krinsky
Luke Eve,Brenton Thwaites,Lily Sullivan,Joel Jackson,i met a girl,Brenton Thwaites Lily Sullivan Joel Jackson Luke Eve
Jon Stevenson,Wil Wheaton,Brian Landis Folkins,Kathleen Brady,rent-a-pal,Wil Wheaton Brian Landis Folkins Kathleen Brady Jon Stevenson
Yuval Adler,Noomi Rapace,Joel Kinnaman,Chris Messina,the secrets we keep,Noomi Rapace Joel Kinnaman Chris Messina Yuval Adler
"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe",Janelle Monáe,Eric Lange,Jena Malone,antebellum,"Janelle Monáe Eric Lange Jena Malone Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe"
Sean Durkin,Jude Law,Carrie Coon,Charlie Shotwell,the nest,Jude Law Carrie Coon Charlie Shotwell Sean Durkin
Roger Michell,Susan Sarandon,Kate Winslet,Mia Wasikowska,blackbird,Susan Sarandon Kate Winslet Mia Wasikowska Roger Michell
William Olsson,Alexandra Daddario,Takehiro Hira,Carice van Houten,lost girls & love hotels,Alexandra Daddario Takehiro Hira Carice van Houten William Olsson
Taylor A. Purdee,Taylor A. Purdee,John Donchak,Nathan Purdee,killian & the comeback kids,Taylor A. Purdee John Donchak Nathan Purdee Taylor A. Purdee
Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Sam Claflin,enola holmes,Millie Bobby Brown Henry Cavill Sam Claflin Harry Bradbeer
Aaron Sorkin,Yahya Abdul-Mateen II,Sacha Baron Cohen,Danny Flaherty,the trial of the chicago 7,Yahya Abdul-Mateen II Sacha Baron Cohen Danny Flaherty Aaron Sorkin
Tate Taylor,Jessica Chastain,John Malkovich,Common,ava,Jessica Chastain John Malkovich Common Tate Taylor
Miranda July,Evan Rachel Wood,Richard Jenkins,Debra Winger,kajillionaire,Evan Rachel Wood Richard Jenkins Debra Winger Miranda July
Andrew Cohn,Richard Jenkins,Shane Paul McGhie,Da'Vine Joy Randolph,the last shift,Richard Jenkins Shane Paul McGhie Da'Vine Joy Randolph Andrew Cohn
Anna Mastro,Peyton Elizabeth Lee,Skylar Astin,Élodie Yung,secret society of second-born royals,Peyton Elizabeth Lee Skylar Astin Élodie Yung Anna Mastro
Marc Carlini,Tommy Dewey,François Arnaud,Minka Kelly,she's in portland,Tommy Dewey François Arnaud Minka Kelly Marc Carlini
Joe Mantello,Jim Parsons,Zachary Quinto,Matt Bomer,the boys in the band,Jim Parsons Zachary Quinto Matt Bomer Joe Mantello
Julie Taymor,Julianne Moore,Alicia Vikander,Timothy Hutton,the glorias,Julianne Moore Alicia Vikander Timothy Hutton Julie Taymor
Sofia Coppola,Rashida Jones,Bill Murray,Marlon Wayans,on the rocks,Rashida Jones Bill Murray Marlon Wayans Sofia Coppola
Brian Duffield,Katherine Langford,Charlie Plummer,Hayley Law,spontaneous,Katherine Langford Charlie Plummer Hayley Law Brian Duffield
Osmany Rodriguez,Jaden Michael,Gerald W. Jones III,Gregory Diaz IV,vampires vs. the bronx,Jaden Michael Gerald W. Jones III Gregory Diaz IV Osmany Rodriguez
Brandon Cronenberg,Andrea Riseborough,Christopher Abbott,Rossif Sutherland,possessor,Andrea Riseborough Christopher Abbott Rossif Sutherland Brandon Cronenberg
Darren Lynn Bousman,Maggie Q,Alex Essoe,Luke Hemsworth,death of me,Maggie Q Alex Essoe Luke Hemsworth Darren Lynn Bousman
Mike Elliott,Madison Pettis,Lizze Broadway,Piper Curda,american pie presents: girls' rules,Madison Pettis Lizze Broadway Piper Curda Mike Elliott
Veena Sud,Mireille Enos,Peter Sarsgaard,Joey King,the lie,Mireille Enos Peter Sarsgaard Joey King Veena Sud
Steven Brill,Adam Sandler,Kevin James,Julie Bowen,hubie halloween,Adam Sandler Kevin James Julie Bowen Steven Brill
Brannon Braga,Britt Robertson,Anna Friel,Rafi Gavron,books of blood,Britt Robertson Anna Friel Rafi Gavron Brannon Braga
Angel Manuel Soto,Jahi Di'Allo Winston,Meek Mill,Will Catlett,charm city kings,Jahi Di'Allo Winston Meek Mill Will Catlett Angel Manuel Soto
Tim Hill,Robert De Niro,Uma Thurman,Rob Riggle,the war with grandpa,Robert De Niro Uma Thurman Rob Riggle Tim Hill
Woody Allen,Timothée Chalamet,Elle Fanning,Selena Gomez,a rainy day in new york,Timothée Chalamet Elle Fanning Selena Gomez Woody Allen
Diane Paragas,Eva Noblezada,Dale Watson,Princess Punzalan,yellow rose,Eva Noblezada Dale Watson Princess Punzalan Diane Paragas
Radha Blank,Radha Blank,Peter Kim,Oswin Benjamin,the 40-year-old version,Radha Blank Peter Kim Oswin Benjamin Radha Blank
Zu Quirke,Sydney Sweeney,Madison Iseman,Jacques Colimon,nocturne,Sydney Sweeney Madison Iseman Jacques Colimon Zu Quirke
"Elan Dassani, Rajeev Dassani",Sarita Choudhury,Sunita Mani,Omar Maskati,evil eye,"Sarita Choudhury Sunita Mani Omar Maskati Elan Dassani, Rajeev Dassani"
Rachel Talalay,Tamara Smart,Oona Laurence,Tom Felton,a babysitter's guide to monster hunting,Tamara Smart Oona Laurence Tom Felton Rachel Talalay
Michael Matthews,Dylan O'Brien,Jessica Henwick,Dan Ewing,love and monsters,Dylan O'Brien Jessica Henwick Dan Ewing Michael Matthews
Mark Williams,Liam Neeson,Kate Walsh,Robert Patrick,honest thief,Liam Neeson Kate Walsh Robert Patrick Mark Williams
Justin Baldoni,Fin Argus,Sabrina Carpenter,Madison Iseman,clouds,Fin Argus Sabrina Carpenter Madison Iseman Justin Baldoni
Edward James Olmos,David Strathairn,Kate Bosworth,Pablo Schreiber,the devil has a name,David Strathairn Kate Bosworth Pablo Schreiber Edward James Olmos
Evan Morgan,Adam Brody,Sophie Nélisse,Tzi Ma,the kid detective,Adam Brody Sophie Nélisse Tzi Ma Evan Morgan
Johnny Martin,Tyler Posey,Summer Spiro,Robert Ri'chard,alone,Tyler Posey Summer Spiro Robert Ri'chard Johnny Martin
Lance Hool,Jacob Elordi,Adan Canto,Tiera Skovbye,2 hearts,Jacob Elordi Adan Canto Tiera Skovbye Lance Hool
Steve Byrne,Jimmy O. Yang,Alex Moffat,Cedric the Entertainer,the opening act,Jimmy O. Yang Alex Moffat Cedric the Entertainer Steve Byrne
Robert Zemeckis,Anne Hathaway,Octavia Spencer,Stanley Tucci,the witches,Anne Hathaway Octavia Spencer Stanley Tucci Robert Zemeckis
Glen Keane,Cathy Ang,Phillipa Soo,Ken Jeong,over the moon,Cathy Ang Phillipa Soo Ken Jeong Glen Keane
Roger Kumble,Josephine Langford,Hero Fiennes Tiffin,Dylan Sprouse,after we collided,Josephine Langford Hero Fiennes Tiffin Dylan Sprouse Roger Kumble
David Prior,James Badge Dale,Marin Ireland,Stephen Root,the empty man,James Badge Dale Marin Ireland Stephen Root David Prior
Justin Simien,Elle Lorraine,Vanessa Williams,Jay Pharoah,bad hair,Elle Lorraine Vanessa Williams Jay Pharoah Justin Simien
Nicol Paone,Malin Åkerman,Kat Dennings,Aisha Tyler,friendsgiving,Malin Åkerman Kat Dennings Aisha Tyler Nicol Paone
Zoe Lister-Jones,Cailee Spaeny,Gideon Adlon,Lovie Simone,the craft: legacy,Cailee Spaeny Gideon Adlon Lovie Simone Zoe Lister-Jones
John Whitesell,Emma Roberts,Luke Bracey,Kristin Chenoweth,holidate,Emma Roberts Luke Bracey Kristin Chenoweth John Whitesell
Jacob Chase,Gillian Jacobs,John Gallagher Jr.,Azhy Robertson,come play,Gillian Jacobs John Gallagher Jr. Azhy Robertson Jacob Chase
Terry Ross,Terry Ross (director); F. Scott Mudgett (screenplay),Honey Lauren,John Salandria,sweet taste of souls,Terry Ross (director); F. Scott Mudgett (screenplay) Honey Lauren John Salandria Terry Ross
Max Winkler,Charlie Hunnam,Jack O'Connell,Jessica Barden,jungleland,Charlie Hunnam Jack O'Connell Jessica Barden Max Winkler
Thomas Bezucha,Diane Lane,Kevin Costner,Lesley Manville,let him go,Diane Lane Kevin Costner Lesley Manville Thomas Bezucha
Andrea Di Stefano,Joel Kinnaman,Rosamund Pike,Common,the informer,Joel Kinnaman Rosamund Pike Common Andrea Di Stefano
Bryan Bertino,Marin Ireland,Michael Abbott Jr.,Xander Berkeley,the dark and the wicked,Marin Ireland Michael Abbott Jr. Xander Berkeley Bryan Bertino
Ron Howard,Amy Adams,Glenn Close,Gabriel Basso,hillbilly elegy,Amy Adams Glenn Close Gabriel Basso Ron Howard
David Fincher,Gary Oldman,Amanda Seyfried,Lily Collins,mank,Gary Oldman Amanda Seyfried Lily Collins David Fincher
Christopher Landon,Vince Vaughn,Kathryn Newton,Katie Finneran,freaky,Vince Vaughn Kathryn Newton Katie Finneran Christopher Landon
David E. Talbert,Forest Whitaker,Keegan-Michael Key,Hugh Bonneville,jingle jangle: a christmas journey,Forest Whitaker Keegan-Michael Key Hugh Bonneville David E. Talbert
Miles Joris-Peyrafitte,Finn Cole,Margot Robbie,Travis Fimmel,dreamland,Finn Cole Margot Robbie Travis Fimmel Miles Joris-Peyrafitte
"Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste",Mel Gibson,Walton Goggins,Marianne Jean-Baptiste,fatman,"Mel Gibson Walton Goggins Marianne Jean-Baptiste Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste"
Edoardo Ponti,Sophia Loren,Ibrahima Gueye,Abril Zamora,the life ahead,Sophia Loren Ibrahima Gueye Abril Zamora Edoardo Ponti
Michael Angelo Covino,Kyle Marvin,Michael Angelo Covino,Gayle Rankin,the climb,Kyle Marvin Michael Angelo Covino Gayle Rankin Michael Angelo Covino
Paul Leyden,Malin Åkerman,Bella Thorne,Fortune Feimster,chick fight,Malin Åkerman Bella Thorne Fortune Feimster Paul Leyden
Michael Rohl,Vanessa Hudgens,Sam Palladio,Nick Sagar,the princess switch: switched again,Vanessa Hudgens Sam Palladio Nick Sagar Michael Rohl
Aneesh Chaganty,Sarah Paulson,Kiera Allen,Pat Healy,run,Sarah Paulson Kiera Allen Pat Healy Aneesh Chaganty
Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,sound of metal,Riz Ahmed Olivia Cooke Paul Raci Darius Marder
Dimitri Logothetis,Alain Moussi,Frank Grillo,JuJu Chan,jiu jitsu,Alain Moussi Frank Grillo JuJu Chan Dimitri Logothetis
Josh Duhamel,Josh Duhamel,Dax Shepard,Olivia Munn,buddy games,Josh Duhamel Dax Shepard Olivia Munn Josh Duhamel
Joel Crawford,Nicolas Cage,Emma Stone,Ryan Reynolds,the croods: a new age,Nicolas Cage Emma Stone Ryan Reynolds Joel Crawford
Clea DuVall,Kristen Stewart,Mackenzie Davis,Alison Brie,happiest season,Kristen Stewart Mackenzie Davis Alison Brie Clea DuVall
George C. Wolfe,Viola Davis,Chadwick Boseman,Glynn Turman,ma rainey's black bottom,Viola Davis Chadwick Boseman Glynn Turman George C. Wolfe
Chris Columbus,Kurt Russell,Goldie Hawn,Darby Camp,the christmas chronicles 2,Kurt Russell Goldie Hawn Darby Camp Chris Columbus
Alan Ball,Paul Bettany,Sophia Lillis,Peter Macdissi,uncle frank,Paul Bettany Sophia Lillis Peter Macdissi Alan Ball
Taylor Swift,Taylor Swift,Jack Antonoff,Aaron Dessner,folklore: the long pond studio sessions,Taylor Swift Jack Antonoff Aaron Dessner Taylor Swift
Ben Falcone,Melissa McCarthy,Bobby Cannavale,Brian Tyree Henry,superintelligence,Melissa McCarthy Bobby Cannavale Brian Tyree Henry Ben Falcone
Ashley Avis,Mackenzie Foy,Kate Winslet,Claire Forlani,black beauty,Mackenzie Foy Kate Winslet Claire Forlani Ashley Avis
Ryan Murphy,Meryl Streep,James Corden,Jo Ellen Pellman,the prom,Meryl Streep James Corden Jo Ellen Pellman Ryan Murphy
Marc Meyers,Jessica Rothe,Harry Shum Jr.,Kyle Allen,all my life,Jessica Rothe Harry Shum Jr. Kyle Allen Marc Meyers
Sharon Maguire,Isla Fisher,Jillian Bell,Santiago Cabrera,godmothered,Isla Fisher Jillian Bell Santiago Cabrera Sharon Maguire
April Mullen,Aaron Eckhart,Katheryn Winnick,Heather Graham,wander,Aaron Eckhart Katheryn Winnick Heather Graham April Mullen
Lawrence Michael Levine,Aubrey Plaza,Christopher Abbott,Sarah Gadon,black bear,Aubrey Plaza Christopher Abbott Sarah Gadon Lawrence Michael Levine
Steven Soderbergh,Meryl Streep,Candice Bergen,Gemma Chan,let them all talk,Meryl Streep Candice Bergen Gemma Chan Steven Soderbergh
George Clooney,George Clooney,Felicity Jones,David Oyelowo,the midnight sky,George Clooney Felicity Jones David Oyelowo George Clooney
Adam Mason,KJ Apa,Sofia Carson,Craig Robinson,songbird,KJ Apa Sofia Carson Craig Robinson Adam Mason
John Patrick Shanley,Emily Blunt,Jamie Dornan,Jon Hamm,wild mountain thyme,Emily Blunt Jamie Dornan Jon Hamm John Patrick Shanley
Reginald Hudlin,Jay Reeves,Thaddeus J. Mixson,Corinne Foxx,safety,Jay Reeves Thaddeus J. Mixson Corinne Foxx Reginald Hudlin
Tara Miele,Sienna Miller,Diego Luna,Beth Grant,wander darkly,Sienna Miller Diego Luna Beth Grant Tara Miele
Julia Hart,Rachel Brosnahan,Arinzé Kene,Marsha Stephanie Blake,i'm your woman,Rachel Brosnahan Arinzé Kene Marsha Stephanie Blake Julia Hart
Jamie Babbit,Drew Barrymore,Michael Zegen,T.J. Miller,the stand in,Drew Barrymore Michael Zegen T.J. Miller Jamie Babbit
Adam Egypt Mortimer,Joe Manganiello,Skylan Brooks,Zolee Griggs,archenemy,Joe Manganiello Skylan Brooks Zolee Griggs Adam Egypt Mortimer
Ekwa Msangi,Ntare Mwine,Zainab Jah,Jayme Lawson,farewell amor,Ntare Mwine Zainab Jah Jayme Lawson Ekwa Msangi
Paul W. S. Anderson,Milla Jovovich,Tony Jaa,"Tip ""T.I."" Harris",monster hunter,"Milla Jovovich Tony Jaa Tip ""T.I."" Harris Paul W. S. Anderson"
Ric Roman Waugh,Gerard Butler,Morena Baccarin,David Denman,greenland,Gerard Butler Morena Baccarin David Denman Ric Roman Waugh
Deon Taylor,Hilary Swank,Michael Ealy,Mike Colter,fatale,Hilary Swank Michael Ealy Mike Colter Deon Taylor
Liam O'Donnell,Lindsey Morgan,Jonathan Howard,Daniel Bernhardt,skylines,Lindsey Morgan Jonathan Howard Daniel Bernhardt Liam O'Donnell
Shawn Linden,Devon Sawa,Camille Sullivan,Nick Stahl,hunter hunter,Devon Sawa Camille Sullivan Nick Stahl Shawn Linden
John Suits,Cody Kearsley,Bruce Willis,Thomas Jane,breach,Cody Kearsley Bruce Willis Thomas Jane John Suits
Eugene Ashe,Tessa Thompson,Nnamdi Asomugha,Ryan Michelle Bathe,sylvie's love,Tessa Thompson Nnamdi Asomugha Ryan Michelle Bathe Eugene Ashe
Patty Jenkins,Gal Gadot,Chris Pine,Kristen Wiig,wonder woman 1984,Gal Gadot Chris Pine Kristen Wiig Patty Jenkins
Pete Docter,Jamie Foxx,Tina Fey,Graham Norton,soul,Jamie Foxx Tina Fey Graham Norton Pete Docter
Robert Rodriguez,Priyanka Chopra Jonas,Pedro Pascal,YaYa Gosselin,we can be heroes,Priyanka Chopra Jonas Pedro Pascal YaYa Gosselin Robert Rodriguez
Regina King,Kingsley Ben-Adir,Eli Goree,Aldis Hodge,one night in miami...,Kingsley Ben-Adir Eli Goree Aldis Hodge Regina King
Emerald Fennell,Carey Mulligan,Bo Burnham,Alison Brie,promising young woman,Carey Mulligan Bo Burnham Alison Brie Emerald Fennell
Kornél Mundruczó,Vanessa Kirby,Shia LaBeouf,Molly Parker,pieces of a woman,Vanessa Kirby Shia LaBeouf Molly Parker Kornél Mundruczó
